Task,Phase,Category,Output,Priority,Status,Depends On,Notes
"Confirm MVP scope","Phase 0","Planning","Defined first implementation boundary","P0 Must","Ready","None","First cycle is foundation + auth"
"Confirm local prerequisites","Phase 0","Planning","Java 21, Node, Docker, Maven confirmed","P0 Must","Ready","None","Required before scaffold"
"Define first milestone","Phase 0","Planning","Auth + project foundation milestone","P0 Must","Ready","MVP scope","Keep scope controlled"
"Decide refresh token strategy","Phase 0","Security","DB-backed or revocation-ready model","P0 Must","Ready","Auth requirements","Important for schema"
"Prepare implementation plan document","Phase 0","Documentation","docs/implementation-plan.md","P0 Must","Ready","MVP scope","Required before code work"
"Inspect repository","Phase 1","Planning","Understand current repo state","P0 Must","Ready","None","First technical task"
"Create monorepo structure","Phase 1","Infrastructure","backend/, frontend/, docs/","P0 Must","Ready","Inspect repository","Match required structure"
"Add root .gitignore","Phase 1","Infrastructure","Git-friendly ignore rules","P0 Must","Ready","Monorepo structure","Include Java, Node, IDE files"
"Add root README.md","Phase 1","Documentation","Initial setup instructions","P0 Must","Ready","Monorepo structure","Expand throughout project"
"Add root docker-compose.yml","Phase 1","Infrastructure","Compose foundation","P0 Must","Ready","Monorepo structure","Include PostgreSQL first"
"Add PostgreSQL Docker service","Phase 1","Database","Local PostgreSQL container","P0 Must","Ready","docker-compose.yml","Backend depends on this"
"Initialize Spring Boot backend","Phase 1","Backend","Java 21 Maven Spring Boot app","P0 Must","Ready","Monorepo structure","Backend primary focus"
"Initialize React frontend","Phase 1","Frontend","Vite React TypeScript app","P0 Must","Ready","Monorepo structure","React 19 target"
"Add backend .env.example","Phase 1","Documentation","Backend env documentation","P0 Must","Ready","Backend init","DB/JWT config"
"Add frontend .env.example","Phase 1","Documentation","Frontend env documentation","P0 Must","Ready","Frontend init","API base URL"
"Create backend package structure","Phase 2","Backend","auth, user, security, common packages","P0 Must","Backlog","Backend init","Feature-based structure"
"Add User entity","Phase 2","Backend","User JPA entity with UUID","P0 Must","Backlog","Package structure","Never expose directly"
"Add UserRole enum","Phase 2","Backend","PLAYER, OWNER, ADMIN","P0 Must","Backlog","User entity","Public registration excludes ADMIN"
"Add UserStatus enum","Phase 2","Backend","ACTIVE, SUSPENDED, DISABLED","P0 Must","Backlog","User entity","Used by auth checks"
"Add Flyway users migration","Phase 2","Database","users table with indexes","P0 Must","Backlog","User entity","No Hibernate auto-create"
"Configure JPA validate mode","Phase 2","Database","spring.jpa.hibernate.ddl-auto=validate","P0 Must","Backlog","Flyway migration","Production-style schema"
"Add register endpoint","Phase 2","Backend","POST /api/auth/register","P0 Must","Backlog","User migration","PLAYER/OWNER only"
"Add login endpoint","Phase 2","Backend","POST /api/auth/login","P0 Must","Backlog","Register endpoint","Returns tokens"
"Add refresh endpoint","Phase 2","Backend","POST /api/auth/refresh","P0 Must","Backlog","Refresh token strategy","Secure renewal"
"Add current user endpoint","Phase 2","Backend","GET /api/auth/me","P0 Must","Backlog","JWT security","Returns user DTO"
"Add BCrypt password hashing","Phase 2","Security","Secure password storage","P0 Must","Backlog","User entity","Never log passwords"
"Add JWT access tokens","Phase 2","Security","Stateless access token auth","P0 Must","Backlog","Login endpoint","Short-lived tokens"
"Add refresh token model","Phase 2","Security","Secure refresh token storage/revocation","P0 Must","Backlog","Refresh strategy","DB-backed preferred"
"Add global exception handler","Phase 2","Backend","Consistent JSON errors","P0 Must","Backlog","Backend init","Validation, 404, 409 etc."
"Add OpenAPI Swagger","Phase 2","Documentation","API docs location","P1 Should","Backlog","Backend endpoints","Useful for university project"
"Add Tailwind CSS","Phase 3","Frontend","Styling foundation","P0 Must","Backlog","Frontend init","Use design tokens"
"Add design tokens","Phase 3","Frontend","Remate Club colors and typography","P0 Must","Backlog","Tailwind CSS","Inter + brand colors"
"Create Button component","Phase 3","Frontend","primary, secondary, tertiary, danger","P0 Must","Backlog","Design tokens","Reusable UI"
"Create Input component","Phase 3","Frontend","Form input base","P0 Must","Backlog","Design tokens","Used by auth forms"
"Create Axios API client","Phase 3","Frontend","Base URL, auth headers, error mapping","P0 Must","Backlog","Frontend init","Add refresh handling"
"Create AuthContext","Phase 3","Frontend","Minimal auth state","P0 Must","Backlog","API client","Avoid Redux"
"Add React Router setup","Phase 3","Frontend","Public/protected route structure","P0 Must","Backlog","Frontend init","Needed before pages"
"Build Login page","Phase 3","Frontend","Serbian UI + validation","P0 Must","Backlog","API client","React Hook Form + Zod"
"Build Registration page","Phase 3","Frontend","Serbian UI + validation","P0 Must","Backlog","API client","PLAYER/OWNER selection"
"Add ProtectedRoute","Phase 3","Frontend","Auth-only access","P0 Must","Backlog","AuthContext","Redirect guests"
"Add RoleProtectedRoute","Phase 3","Frontend","Role-based access","P0 Must","Backlog","AuthContext","Owner/admin/player guards"
"Add Unauthorized page","Phase 3","Frontend","403 frontend route","P1 Should","Backlog","Router setup","Basic error page"
"Add Not Found page","Phase 3","Frontend","404 frontend route","P1 Should","Backlog","Router setup","Basic error page"
"Add Club entity","Phase 4","Backend","Club model with owner and status","P0 Must","Backlog","Auth foundation","Owner relationship"
"Add ClubStatus enum","Phase 4","Backend","PENDING_APPROVAL, APPROVED, REJECTED, SUSPENDED","P0 Must","Backlog","Club entity","Approval workflow"
"Add Club migration","Phase 4","Database","Club table, indexes, foreign keys","P0 Must","Backlog","Club entity","Index city/status"
"Add Court entity","Phase 4","Backend","Court model with type and active flag","P0 Must","Backlog","Club entity","Belongs to club"
"Add CourtType enum","Phase 4","Backend","STANDARD, PANORAMIC, SINGLE","P0 Must","Backlog","Court entity","Court classification"
"Add Court migration","Phase 4","Database","Court table, indexes, foreign keys","P0 Must","Backlog","Court entity","Club FK"
"Add public clubs endpoint","Phase 4","Backend","GET /api/clubs","P0 Must","Backlog","Club migration","Approved clubs only"
"Add club details endpoint","Phase 4","Backend","GET /api/clubs/{clubId}","P0 Must","Backlog","Public clubs endpoint","Approved club details"
"Add public courts endpoint","Phase 4","Backend","GET /api/clubs/{clubId}/courts","P0 Must","Backlog","Court migration","Active courts only"
"Add owner club creation","Phase 4","Owner","POST /api/owner/clubs","P0 Must","Backlog","Club migration","Starts pending approval"
"Add owner club update","Phase 4","Owner","PUT /api/owner/clubs/{clubId}","P0 Must","Backlog","Owner club creation","Own clubs only"
"Add owner clubs endpoint","Phase 4","Owner","GET /api/owner/clubs","P0 Must","Backlog","Owner auth","Own clubs only"
"Add admin approve endpoint","Phase 4","Admin","PATCH /api/admin/clubs/{clubId}/approve","P0 Must","Backlog","Admin auth","Admin only"
"Add admin reject endpoint","Phase 4","Admin","PATCH /api/admin/clubs/{clubId}/reject","P0 Must","Backlog","Admin auth","Admin only"
"Add ownership authorization tests","Phase 4","Testing","Owner cannot manage other owners' clubs","P0 Must","Backlog","Owner endpoints","Security-critical"
"Add Booking entity","Phase 5","Booking","Booking model with status and price","P0 Must","Backlog","Court domain","Main reservation model"
"Add BookingStatus enum","Phase 5","Booking","CONFIRMED, COMPLETED, CANCELLED states","P0 Must","Backlog","Booking entity","Lifecycle statuses"
"Add CourtBlock entity","Phase 5","Booking","Blocked court periods","P0 Must","Backlog","Court domain","Owner blocks"
"Add booking migration","Phase 5","Database","Booking table, indexes, foreign keys","P0 Must","Backlog","Booking entity","Index court/start/end"
"Add court block migration","Phase 5","Database","Court block table, indexes, foreign keys","P0 Must","Backlog","CourtBlock entity","Block conflict checks"
"Implement overlap query","Phase 5","Booking","Active booking conflict detection","P0 Must","Backlog","Booking migration","Core rule"
"Implement booking transaction","Phase 5","Booking","Safe booking creation","P0 Must","Backlog","Overlap query","Prevent partial writes"
"Add pessimistic locking","Phase 5","Booking","Prevent race conditions","P0 Must","Backlog","Booking transaction","Critical concurrency"
"Check overlapping court blocks","Phase 5","Booking","Court unavailable during blocks","P0 Must","Backlog","CourtBlock migration","Required rule"
"Calculate price on backend","Phase 5","Booking","Backend-controlled total price","P0 Must","Backlog","Booking service","Do not trust frontend"
"Add booking create endpoint","Phase 5","Booking","POST /api/bookings","P0 Must","Backlog","Booking service","Player creates booking"
"Add my bookings endpoint","Phase 5","Player","GET /api/bookings/me","P0 Must","Backlog","Booking entity","Own bookings only"
"Add booking details endpoint","Phase 5","Booking","GET /api/bookings/{bookingId}","P0 Must","Backlog","Booking entity","Role-aware access"
"Add cancel booking endpoint","Phase 5","Booking","PATCH /api/bookings/{bookingId}/cancel","P0 Must","Backlog","Booking entity","Player/owner/admin rules"
"Add availability endpoint","Phase 5","Booking","GET /api/courts/{courtId}/availability","P0 Must","Backlog","Booking + blocks","Date-based slots"
"Add conflict response","Phase 5","Booking","409 BOOKING_TIME_UNAVAILABLE","P0 Must","Backlog","Booking service","Required API behavior"
"Add concurrency integration test","Phase 5","Testing","Two competing bookings, only one succeeds","P0 Must","Backlog","Booking endpoint","Most important test"
"Build landing page","Phase 6","Frontend","Hero, search, benefits, CTA, footer","P1 Should","Backlog","Design tokens","Serbian UI"
"Build clubs listing page","Phase 6","Frontend","Filters, club cards, pagination","P1 Should","Backlog","Clubs API","Public discovery"
"Build club details page","Phase 6","Frontend","Club info, courts, slots, booking CTA","P1 Should","Backlog","Club/court APIs","Fresh availability before booking"
"Add loading states","Phase 6","Frontend","Skeletons/spinners","P1 Should","Backlog","Pages","Better UX"
"Add empty states","Phase 6","Frontend","No results UX","P1 Should","Backlog","Pages","Better UX"
"Add error states","Phase 6","Frontend","API failure UX","P1 Should","Backlog","API client","Better UX"
"Build My Bookings page","Phase 6","Player","Player reservations","P1 Should","Backlog","Booking API","Player area"
"Build Booking Details page","Phase 6","Player","Reservation details","P1 Should","Backlog","Booking details API","Player area"
